,business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories
51157,V2yFOyq-4cj7dUvEXyMiGQ,"""Filiberto's Mexican Food""","""2853 S. Sossaman Ave""",MESA,AZ,85212,33.3639667,-111.6695936,2.5,23,1,Mexican;Restaurants
51159,eY31R4Fy22ynj-FtnUUeAg,"""Raging Bull""","""155 S Power Rd""",Mesa,AZ,85206,33.412275199999996,-111.683851,3.5,71,1,Bars;Nightlife;Burgers;American (New);Sports Bars;Restaurants
51162,doNFUrUKx99ajM5NI-XdsQ,"""Domino's Pizza""","""1241 E Chandler Blvd""",Phoenix,AZ,85048,33.304331,-112.054775,3.0,14,1,Pizza;Restaurants;Sandwiches;Chicken Wings
51171,TDtrXAMabVffH1Yf-RLpnQ,"""Jimmy V's Subs and wings""","""15840 North 32nd St, Ste 5""",Phoenix,AZ,85032,33.6315498373,-112.013841569,4.5,7,0,Salad;Sandwiches;Restaurants;Burgers
51172,6MEKzqX4uuxBTqavZKdc4g,"""2 Men and A Pizza""","""9330 E Poinsettia Dr""",Scottsdale,AZ,85260,33.594691999999995,-111.88044609999999,3.5,15,0,Pizza;Restaurants
51180,8XZ4X5WUyM1sWscObramwQ,"""Einstein Bros Bagels""","""16842 N 7th St""",Phoenix,AZ,85022,33.6390854,-112.0661413,3.0,53,1,Delis;Restaurants;Food;Bagels;Breakfast & Brunch
51185,7JYjXxB9tnAeSn6-NNSq8Q,"""Subway""","""11 W Jefferson St""",Phoenix,AZ,85003,33.4469538,-112.0740632,2.5,7,1,Fast Food;Food;Restaurants;Sandwiches
51200,rRUMh9qvfW8wA6NUd5Yf8w,"""Wholly Grill""","""66 S Dobson Rd""",Mesa,AZ,85202,33.4133505,-111.8759922,4.0,85,1,Filipino;Restaurants
51203,7N3q70C_mwEYQ2QcGfjvgA,"""Thai Basil""","""1111 S Rural Rd""",Tempe,AZ,85281,33.416288699999996,-111.9258926,4.0,235,1,Restaurants;Thai
51231,qXoVYptJRQg6Jt7NLvGv-A,"""Opa Life Greek Cafe""","""9404 Westgate Blvd, Unit C103""",Glendale,AZ,85305,33.534484,-112.2619851,4.0,213,1,Mediterranean;Cafes;Restaurants;Greek
51266,vWKR_bqr6S7K41Nqgr22SA,"""Parsons Family Restaurant""","""5921 W Northern Ave""",Glendale,AZ,85301,33.5530537,-112.18741440000001,4.0,60,1,Restaurants;Diners
51267,wZukjLaf1V2dLRQap_Zriw,"""Postino East""","""302 N Gilbert Rd""",Gilbert,AZ,85234,33.3551422,-111.78995900000001,4.5,842,1,Italian;Bars;Restaurants;Breakfast & Brunch;Nightlife;Wine Bars
51277,105f7-pVm48HQDB2BGk11g,"""In-N-Out Burger""","""2910 E Germann Rd""",Chandler,AZ,85249,33.281184700000004,-111.7901918,4.0,63,1,Fast Food;Restaurants;Burgers
51290,b1s8c1CTlHmLIlNGI9q-mQ,"""Donna's Bakery Cafe""","""710 W Elliot Rd, Ste 101""",Tempe,AZ,85284,33.349696,-111.94761000000001,4.0,90,1,Bakeries;Caterers;Sandwiches;Cafes;Food;Event Planning & Services;Restaurants
51295,K5lajhnoiTXNSkFxjh2Etg,"""Big Burrito""","""4920 W Thunderbird Rd""",Glendale,AZ,85306,33.6108141,-112.16439709999999,3.0,17,0,Mexican;Restaurants
51320,tQm5R5UsWBzxsOGLPjfLJQ,"""Big Eye Sushi Bar""","""14144 N 100th St""",Scottsdale,AZ,85260,33.612796582,-111.864413023,3.5,182,1,Japanese;Restaurants;Sushi Bars;Seafood
51328,9BIpjY9ue1IDN9ZCZS8EyQ,"""Jersey Mike's Subs""","""15807 E Frank Lloyd Wright""",Scottsdale,AZ,85260,33.629769399999994,-111.8875115,3.0,54,1,Restaurants;Sandwiches;Delis;Fast Food
51341,ROMFVEFKEYi7qhyITX6jfA,"""24 Carrots Juice Bar & Cafe""","""1701 E Guadalupe Rd""",Tempe,AZ,85283,33.363419,-111.91305870000001,4.0,210,1,Cafes;Food;Vegan;Vegetarian;Restaurants;Gluten-Free;Breakfast & Brunch;Juice Bars & Smoothies
51343,6TKJDgTrUoD3zu77A4JHnQ,"""Coco's Family Restaurant""","""4700 N Scottsdale Rd""",Scottsdale,AZ,85251,33.504778200000004,-111.9261807,2.5,13,0,Food;American (Traditional);Bakeries;Restaurants
51353,NtfAbj7MSj5IOhAsGM0-5w,"""Einstein Bros Bagels""","""2825 N Scottsdale Rd""",Scottsdale,AZ,85257,33.4795519162,-111.92387612700001,3.0,53,1,Restaurants;Bagels;Food;Delis;Sandwiches
51356,PpreEj90GJUDm7LHI6kPOA,"""El Pollo Loco""","""4102 E Thomas Rd""",Phoenix,AZ,85018,33.4806911,-111.99269340000001,2.5,38,1,Fast Food;Mexican;Restaurants
51358,vksSR5uiHlG0tDKZHmt9mg,"""Long John Silver's""","""6830 W Peoria Ave""",Peoria,AZ,85345,33.5820797,-112.2059588,3.5,5,0,Seafood;Restaurants
51359,Yav3F0jvjZ6gUSEb0g8NMw,"""Rustica Café & Bar""","""9780 W Northern Ave, Ste 1110""",Peoria,AZ,85345,33.553769800000005,-112.2701979,3.0,20,0,Restaurants;Seafood;Sandwiches;Italian
51364,0CZ4opKkec9yAS8qmXoWdA,"""Ric's Smokehouse BBQ & Grill""","""1930 W Pinnacle Peak Rd, Ste 119""",Phoenix,AZ,85027,33.69867120000001,-112.10138149999999,3.0,62,0,Restaurants;Local Flavor;Barbeque
51365,TgjB-wlAVzol6HoDpE8KYg,"""Duza's Kitchen""","""2243 N 12th St""",Phoenix,AZ,85006,33.472768373600005,-112.056269848,4.5,357,1,Food;American (New);Seafood;Breakfast & Brunch;Restaurants;Bakeries;Coffee & Tea
51368,PGJLirDJJy3txBB7JVgs7Q,"""Subway""","""240 W Baseline Rd""",Mesa,AZ,85210,33.3807228,-111.8367745,2.5,6,1,Sandwiches;Restaurants;Fast Food
51376,4bfKtdnkkhq8qA21sjVXlg,"""Habanero Fresh Mexican Grill""","""701 W Deer Valley Rd""",Phoenix,AZ,85027,33.683215999999994,-112.083836,4.5,78,1,Caterers;Restaurants;Event Planning & Services;Mexican
51390,DMmeFKsUuMl0kDy7Zd7W3A,"""Sandbar Mexican Grill""","""7200 W Ray Rd""",Chandler,AZ,85226,33.3204996528,-111.96630916,3.0,296,1,Mexican;Restaurants;Nightlife;Bars
51392,B4fZ811vrsXDG30d3B3v3Q,"""Ko'sin Restaurant""","""5594 W Wild Horse Pass Blvd""",Chandler,AZ,85226,33.2678103,-111.97847949999999,3.5,69,1,Restaurants;American (New)
51400,1iDBWrwjfk4w_ThhL_qTYQ,"""Bistro Du Lac""","""8320 N Hayden Rd, Ste D 101""",Scottsdale,AZ,85258,33.557186,-111.90041699999999,2.5,32,0,Nightlife;Restaurants;French;Wine Bars;Bars
51410,c7lAaz-pW58i1h1rSlyqcw,"""Republica Empanada""","""204 E 1st Ave""",Mesa,AZ,85210,33.41346,-111.825846,4.5,434,1,Restaurants;Latin American;Food;Empanadas;Comfort Food
51418,7cLLZOdfsXqg1zqiK0HMIA,"""Chart House""","""7255 E McCormick Pkwy""",Scottsdale,AZ,85258,33.5508893717,-111.92399165100001,3.0,189,1,Wine Bars;Bars;Seafood;American (Traditional);Restaurants;Steakhouses;Nightlife;Event Planning & Services;Venues & Event Spaces
51428,IbG15_zkcvWlg5ySEFAQ2A,"""Playas Del Novilleros""","""6845 S Central Ave""",Phoenix,AZ,85042,33.3834256,-112.07285,4.5,11,1,Restaurants;Seafood
51430,ul453nviXny8aeNLeI1VTA,"""Sushi & Song San""","""1310 S Longmore""",Mesa,AZ,85202,33.3906202016,-111.864401624,3.0,6,1,Sushi Bars;Restaurants;Korean;Chinese;Japanese
51451,L-ET62DqrmaXrUTga5Px6A,"""McDonald's""","""4505 E McKellips Rd""",Mesa,AZ,85215,33.4495793,-111.73380790000002,1.0,6,1,Restaurants;Fast Food;Burgers
51460,PDxLOAtYqOz6z7M7h0LRoA,"""Headquarters Grill Bar Sushi""","""16041 N Arrowhead Fountains Center Dr""",Peoria,AZ,85382,33.630154499999996,-112.2382077,4.0,177,1,Restaurants;Nightlife;Sports Bars;Sushi Bars;Bars;American (New)
51506,fuQpzuHPLt8pnJ49j74qCQ,"""El Sabor de la Familia""","""8345 W Glendale Ave, Ste 105""",Glendale,AZ,85305,33.5371143137,-112.239370564,3.5,25,1,Mexican;Restaurants
51509,cZxjPy4OrqJKscmCypDFoQ,"""Pizzafarro's""","""36889 N Tom Darlington Dr""",Carefree,AZ,85377,33.8208943,-111.9238822,3.5,54,1,Restaurants;Pizza;Italian
51528,SiKTElhCaJGhAdySd7JSHA,"""Amaro Italiano Ristorante""","""28234 N Tatum Blvd""",Cave Creek,AZ,85331,33.7428028,-111.9782697,4.0,105,0,Pizza;Wine Bars;Italian;Bars;Restaurants;Nightlife
51567,F-256nqXyfo91fev3ZES1A,"""Auslers Grill""","""1339 E Chandler Boulevard""",Phoenix,AZ,85048,33.305374,-112.05380530000001,5.0,4,0,Restaurants
51568,NVvjplHvDAoMOEGbYws4Sw,"""Doner Dudes""","""681 E Apache Blvd, Ste 107""",Tempe,AZ,85281,33.4142056671,-111.92892628700001,3.5,25,1,Fast Food;Mediterranean;Turkish;Sandwiches;Kebab;Cafes;Restaurants
51608,21aN-c-5CjugDRiSdjrH3g,"""JD's Sports Pub & Lounge""","""7200 N Scottsdale Rd""",Scottsdale,AZ,85253,33.5451415765,-111.968966646,2.5,21,1,Arts & Entertainment;American (Traditional);Music Venues;Chicken Wings;Nightlife;Bars;Pubs;Restaurants
51675,X3NMHQqicl2ARwIjwNFERQ,"""Waffle House""","""1801 W Baseline Rd""",Guadalupe,AZ,85283,33.3777627,-111.96643259999999,3.0,108,1,Diners;Breakfast & Brunch;American (Traditional);Restaurants;Waffles
51685,HRghNZCxQm0UGgvu4mk33w,"""Chipotle Mexican Grill""","""3125 E Indian School Rd, Ste 101""",Phoenix,AZ,85016,33.4950420646,-112.014734564,3.0,17,1,Mexican;Restaurants;Fast Food
51702,Y_9f9tzVRaXjfT9Fa5_W9A,"""Uberrito""","""4325 E Indian School Rd, Ste 150""",Phoenix,AZ,85018,33.494274970700005,-111.987249571,3.5,89,1,Fast Food;Restaurants;Mexican;Tex-Mex;Tacos;Salad
51718,8w_PzYVk6cR37lpR-SWMog,"""El Pollo Loco""","""13233 W McDowell Rd""",Goodyear,AZ,85395,33.463892925100005,-112.343651935,2.0,50,1,Restaurants;Fast Food;Mexican
51739,bU8LfqCBOgSgGrpXTYAVfA,"""Papa Murphy's Take 'N' Bake Pizza""","""3780 W Happy Valley Rd, Ste 124""",Glendale,AZ,85310,33.714283200000004,-112.1401263,3.5,11,0,Pizza;Restaurants
51789,MkKMmLQGtuZnjw-5GqLwqQ,"""KFC""","""705 W Baseline Rd""",Tempe,AZ,85283,33.3781,-111.949,2.0,25,1,Chicken Wings;Fast Food;Restaurants
51824,-YGePLsJ2pYccR3oaeCSAw,"""Lafitte's""","""2577 W Greenway Rd""",Phoenix,AZ,85023,33.6242346,-112.11418049999999,3.0,33,0,Cajun/Creole;Restaurants
51825,HGLMe4y0y_VsBkDLdpfBLA,"""Papi Chulo's Mexican Grill & Cantina""","""5101 N Scottsdale Rd""",Scottsdale,AZ,85250,33.510917,-111.92469840000001,3.0,193,0,Mexican;Breakfast & Brunch;Restaurants;Seafood
51829,Pi7dsdOXqrMaC53V5TOqBQ,"""Zaytoon Kabob Bistro""","""4929 W Ray Rd""",Chandler,AZ,85226,33.319526,-111.92576299999999,3.5,3,0,Restaurants;Afghan
51830,bO_JX-lDo5D5JGZhK5Ly3A,"""Cafe Krishna""","""4929 W Chandler Blvd""",Chandler,AZ,85226,33.304860999999995,-111.92706499999998,3.0,53,0,Indian;Vegetarian;Food;Desserts;Restaurants
51836,CSt1mDL1q9-i1cicwFZ57g,"""Momenti Pizza""","""1633 S Higley Rd, Ste 102""",Gilbert,AZ,85296,33.320634015900005,-111.72068473700001,3.0,13,0,Pizza;Local Flavor;Restaurants
51906,CRLvROAjgX-aKI7VIfPLFg,"""Pita Jungle""","""4 E University Dr""",Tempe,AZ,85281,33.422191999999995,-111.93961499999999,4.0,98,1,Mediterranean;Restaurants;American (New);Vegetarian
51916,dXoeLzpG72P7F2Lwa01riQ,"""Chipotle Mexican Grill""","""13869 W Bell Rd, Ste 107""",Surprise,AZ,85374,33.6382111448,-112.359094705,2.5,104,1,Restaurants;Mexican;Fast Food
51921,v0FdDAXvEYieRWcngbCe1Q,"""Cafe Rio""","""2501 W Happy Valley Rd""",Phoenix,AZ,85027,33.7121303,-112.11121159999999,3.0,122,1,Mexican;Restaurants
51947,2p346MdyPISpZ2k-h0GSqg,"""Flaming Wok""","""7611 W Thomas Rd""",Phoenix,AZ,85033,33.4765,-112.22464699999999,4.0,6,1,Chinese;Restaurants
51950,rqYOFPPrdwMYvSRpI4r3-g,"""Ice House Tavern""","""3855 E Thomas Rd""",Phoenix,AZ,85018,33.4788098,-111.9984213,3.5,16,1,Sports Bars;Dive Bars;Nightlife;Bars;American (Traditional);Beer Bar;Restaurants
51961,jcw_vtqfZSTLP15DJmvfIA,"""Melrose Kitchen""","""4306 N 7th Ave""",Phoenix,AZ,85013,33.49875,-112.08350959999999,3.5,164,1,American (Traditional);Breakfast & Brunch;Seafood;Restaurants;Burgers;Food;Diners;American (New)
51978,V-jICfSJcUC794xewtRI5A,"""Rochelli's""","""10101 E Bell Rd, Ste 109""",Scottsdale,AZ,85260,33.6391923,-111.8643936,3.5,20,0,Food;Pizza;Restaurants
51980,q2WTpKRmii5lhJdAv4Nxsg,"""Rock Bottom Restaurant & Brewery""","""8668 E Shea Blvd""",Scottsdale,AZ,85260,33.5826968,-111.89372549999999,3.5,21,0,Nightlife;American (New);Restaurants;Bars
51990,xRbAlgd3UjNM1UO831a7hg,"""Mad G's Grill & Tavern""","""19 E Broadway Rd""",Tempe,AZ,85282,33.4074002,-111.9393271,3.0,15,0,Nightlife;American (Traditional);Bars;Restaurants
51993,VWR1zQYVyHAFRcF1acKczA,"""Cucina di Vita""","""142 W Main St""",Mesa,AZ,85201,33.4154803,-111.8356623,3.5,24,0,Caterers;Delis;Event Planning & Services;Italian;Restaurants
51996,onqVz9FhdZCCwCMrnxd7Sw,"""Subway""","""2632 S 83rd Ave, Ste 100""",Phoenix,AZ,85043,33.4233265,-112.24019229999999,1.5,7,1,Sandwiches;Fast Food;Restaurants
52008,H_yoEB8N8CeABPuLMFWEzQ,"""Sushiya Sushi""","""2531 S Gilbert Rd, Ste 109""",Gilbert,AZ,85296,33.3057479529,-111.78966522200001,4.0,213,1,Japanese;Sushi Bars;Restaurants
52067,1YdO6O1iEqhHTM-N0K5pHA,"""Benedetto Ristorante e Bar""","""8140 N Hayden Rd""",Scottsdale,AZ,85258,33.5552759,-111.90006240000001,2.5,3,1,Italian;Restaurants
52077,en-qw089uyISqOTUJb3dhw,"""La Salsitas""","""24 W Southern Ave""",Phoenix,AZ,85041,33.392492,-112.074022,2.5,15,1,Restaurants;Mexican
52082,avKtXuzalCP_cVfrk-fLeQ,"""Brigett's Last Laugh""","""17222 N Cave Creek Rd""",Phoenix,AZ,85032,33.6430033,-112.0313,3.5,96,1,Food;Bars;Karaoke;American (Traditional);Club Crawl;Sports Bars;Beer;Wine & Spirits;Nightlife;Pubs;Dive Bars;Restaurants;Pizza
52084,OQ2QdaD0StfptJXv15KSkw,"""Pho King Kitchen""","""8018 East Thomas Rd""",Scottsdale,AZ,85251,33.480668800000004,-111.9080281,3.5,142,1,Vietnamese;American (New);Restaurants;Asian Fusion
52109,BBiHfu0tFmJki_1h1bqHag,"""Rolling Hills Golf Course""","""1415 N Mill Ave""",Tempe,AZ,85281,33.4449783,-111.9481945,3.5,22,1,Restaurants;American (Traditional);Active Life;Golf
52140,yNBVOKSZN_AIjSJdhF_rqA,"""Garbanzo Mediterranean Grill""","""4575 E Cactus Rd, Ste 140""",Phoenix,AZ,85032,33.5992760512,-111.98354803,3.5,123,0,American (Traditional);Restaurants;Caterers;Event Planning & Services;Food;Mediterranean;Falafel
52162,GA_Nx4xA3Z4pn9i5XKF1Wg,"""Nori Sushi Scottsdale""","""10115 E Bell Rd, Ste 111""",Scottsdale,AZ,85260,33.6382752958,-111.863211348,4.0,164,1,Bars;Sushi Bars;Japanese;Restaurants;Lounges;Asian Fusion;Nightlife
52169,44vEjV59_w0cm_Lhyif3bQ,"""Senor Taco""","""1817 E Baseline Rd""",Tempe,AZ,85283,33.3780868986,-111.906869039,4.0,91,1,Restaurants;Mexican
52176,5o6qOFzZ4NrJ6bJ39ohCtA,"""NY Bagels and Deli""","""1515 W Deer Valley Rd, Ste 101A""",Phoenix,AZ,85027,33.683323,-112.092428,4.0,81,1,Bagels;Breakfast & Brunch;Restaurants;Food;Delis
52200,EJShgTy1lEkp48RLkMt1ag,"""Jack-In-the Box Drive Thru""","""5447 W Glendale Ave""",Glendale,AZ,85301,33.538152399999994,-112.1769763,2.5,6,1,Restaurants;Burgers
52213,A2hT97lhkUN817adEcKWjw,"""Red Devil Italian Restaurant & Pizzeria""","""18185 N 83rd Ave, Ste 113""",Glendale,AZ,85308,33.6474468,-112.23642269999999,3.5,3,0,Italian;Pizza;Restaurants
52215,xFc50drSPxXkcLvX5ygqrg,"""Boomer's Sweet Home Chicago""","""5932 W Bell Rd, Ste D-109""",Glendale,AZ,85308,33.6403912,-112.1870284,3.5,11,0,American (New);Hot Dogs;Burgers;Restaurants;Fast Food
52238,5Ktv5ZmJI0CN4L0KxDWJvw,"""Phoenix City Grille""","""5816 N 16th St""",Phoenix,AZ,85016,33.5223999,-112.0478399,4.5,349,1,Restaurants;Nightlife;Sandwiches;Breakfast & Brunch;Tapas/Small Plates;Bars;Irish;Pubs;American (Traditional);Salad;American (New)
52257,eC3wxjsG4mjK_Y4YbBILYQ,"""Dash Grill""","""7557 W Greenway Rd, Ste 104""",Peoria,AZ,85381,33.6244629,-112.22086110000001,4.0,28,0,Desserts;Seafood;Food;Restaurants;Sandwiches;American (New);American (Traditional)
52264,BSmqxPbQglQwP2R56OqOag,"""Local Bistro""","""20581 N Hayden Rd, Ste 115""",Scottsdale,AZ,85255,33.6713104605,-111.906004918,4.0,404,1,Italian;French;Restaurants;Pizza;Steakhouses
52273,NUjvyCh_0L5BJsdYf_JtfQ,"""The 5-Spot""","""1606 E Bell Rd""",Phoenix,AZ,85022,33.6417123225,-112.047774837,4.0,36,0,Nightlife;Bars;American (New);Restaurants;Sports Bars
52289,NpUR0C_W-gbMcp0TL4lVKg,"""Wendy's""","""2640 W Thunderbird Rd""",Phoenix,AZ,85023,33.611410600000006,-112.1129647,2.0,17,1,Salad;Fast Food;Restaurants;Burgers
52312,IsN0qEzgAXBjbT3qn6lokA,"""Humble Pie""","""6149 N Scottsdale Rd""",Scottsdale,AZ,85250,33.5266038,-111.924627,3.5,257,1,Pizza;Italian;Restaurants
52318,DS8iFty1c_4YGn8sCIOFAA,"""Auntie Anne's""","""3111 W Chandler Blvd""",Chandler,AZ,85226,33.3016651,-111.89801809999999,4.0,9,1,Restaurants;Food;Bakeries;Fast Food;Pretzels
52402,f-v1fvtnbdw_QQRsCnwH-g,"""Fractured Prune Doughnuts""","""9390 W Hanna Ln, Ste B-101""",Glendale,AZ,85305,33.5349973245,-112.260996776,4.0,200,1,Bakeries;Coffee & Tea;Breakfast & Brunch;Donuts;Food;Restaurants;Desserts;Pizza;Bagels
52415,NSmoI-d_rMZXp0UCM1vdog,"""Mylynn Cafe""","""66 S Dobson Rd, Ste -106""",Mesa,AZ,85202,33.413057300000006,-111.8759932,3.0,5,1,Vietnamese;Restaurants
52473,X_irZWSbhRYz-VbPGMobTA,"""Cave Creek Cafe""","""14620 N Cave Creek Rd""",Phoenix,AZ,85022,33.619354,-112.03129799999999,3.5,26,0,Breakfast & Brunch;Burgers;Restaurants;Sandwiches
52486,FcFnVG2NO2a6h6Mi86zaFQ,"""Talebu Coffee & Wine Cafe""","""2095 N Alma School Rd, Ste 2""",Chandler,AZ,85224,33.337610784,-111.85842879200001,4.0,120,1,Music Venues;Bars;Arts & Entertainment;Nightlife;Restaurants;Coffee & Tea;Italian;Food;Wine Bars
52492,IwfYdXNuQePaLQS5aWIWdw,"""Wingstop""","""3757 S Gilbert Rd""",Gilbert,AZ,85297,33.2816424377,-111.78868131,3.0,54,1,Chicken Wings;Restaurants
52560,_mqUzNXs_sJ1EJYgYZYszg,"""The Lunch Lounge""","""501 N 44th St, Ste 175""",Phoenix,AZ,85008,33.454241499999995,-111.986525,4.5,82,1,Breakfast & Brunch;Delis;Restaurants;Sandwiches
52561,irz64oYL4VYgHWyzvO6_FA,"""Electric Eel Sushi & Teppan""","""30815 N Cave Creek Rd, Ste 132""",Cave Creek,AZ,85331,33.7660585,-111.984159,3.0,61,0,Restaurants;Japanese
52570,0rjU_WK5HxoH1fIuEpTpcg,"""Zesty Zzeeks Pizza and Wings""","""4825 E Warner Rd""",Phoenix,AZ,85044,33.3293642208,-111.979633853,4.0,232,1,Sandwiches;Chicken Wings;Restaurants;Pizza;Food
52579,XjUjD1cPBywaUEArAPEigg,"""Jake's Grill and Bar""","""3321 E Queen Creek Rd""",Gilbert,AZ,85297,33.2629037525,-111.71753525700001,3.0,16,0,Bars;Restaurants;Sports Bars;American (Traditional);Nightlife
52582,E9Br7PAWnMeYq4FYRiW8Og,"""Arby's""","""9049 E Indian Bend Rd""",Scottsdale,AZ,85250,33.5378839,-111.88627890000001,2.5,16,1,Fast Food;Restaurants;Sandwiches
52596,D5U--oPlJ0VJqBw-SEg38Q,"""Palermo's Grill""","""11107 W Buckeye Rd""",Avondale,AZ,85323,33.435258027399996,-112.29819628,2.5,4,1,Italian;Pizza;Mexican;Restaurants
52632,bAEjviEU-aUijEtiIw8_Nw,"""Uncle Jimmy's Cheese Steaks and Shakes""","""4407 W Peoria Ave""",Glendale,AZ,85302,33.5817279,-112.1542308,2.5,9,0,Food;Restaurants;Ice Cream & Frozen Yogurt;Cheesesteaks;Salad
52636,K64Uw3a2Enh2MznpwRHWKQ,"""Razz's Restaurant & Catering""","""10315 N Scottsdale Rd""",Scottsdale,AZ,85253,33.5802635,-111.92568840000001,4.5,161,1,American (New);Restaurants;French
52691,kne4oWWLq0FFHLA-gWuqoQ,"""Daily Dose Midtown""","""1928 E Highland Ave, Ste F-107""",Phoenix,AZ,85016,33.5058728555,-112.04134225799999,4.0,331,1,Breakfast & Brunch;Bars;Nightlife;Event Planning & Services;Caterers;Restaurants;American (New)
52710,vRGVXE0CuPq6qA0k_3nVoA,"""Ned's Krazy Sub""","""1356 S Gilbert Rd, Ste B-1""",Mesa,AZ,85204,33.39046,-111.789177,3.5,48,1,Restaurants;Sandwiches
52733,YTB8vgqT3iDlNRjnREmZCA,"""Jimmy & Joe's Pizzeria""","""4040 W Ray Rd""",Chandler,AZ,85226,33.3210148,-111.91320630000001,3.0,33,1,Sandwiches;Restaurants;Pizza;Salad
52756,sZq-qUvoLgYxlDmIcxYWDg,"""Burger Theory""","""4401 E Mcdowell Rd""",Phoenix,AZ,85008,33.4654851036,-111.98671818700001,3.5,200,1,Bars;Restaurants;Nightlife;American (Traditional);American (New);Beer Bar;Burgers
52787,rZTHH79jW9_QkLUpTwMZhw,"""King Buffet 2000""","""7101 E McDowell Rd""",Scottsdale,AZ,85257,33.4651994,-111.9282422,3.5,17,0,Restaurants;Buffets
52794,K--ma2GS7bg1W96edq3V9g,"""Tony's Pizzeria""","""7804 N 27th Ave""",Phoenix,AZ,85051,33.5513424,-112.1169946,4.0,3,0,Pizza;Restaurants;Food Delivery Services;Food
52806,OPPgxUzAx44Qdx9qsOZgqQ,"""Big Cuz's Catering""","""428 E Thunderbird Rd, Ste 424""",Phoenix,AZ,85022,33.608811100000004,-112.06696609999999,5.0,4,1,Party & Event Planning;Food Trucks;Food;Caterers;Event Planning & Services;Restaurants;Barbeque
52808,flKREzH4wdibg0IAIuZe_g,"""Central Cafe""","""2600 N Central Ave""",Phoenix,AZ,85004,33.4771144,-112.07441969999999,3.5,7,1,Restaurants;Cafes
52811,2zo1Gg_ERRjn5LzX9hzR5w,"""Clockwork Pizza""","""7520 S Rural Rd, Ste A9""",Tempe,AZ,85283,33.3500187,-111.9299298,4.0,224,1,Chicken Wings;Restaurants;Sandwiches;Salad;Pizza
52829,BlJsO_Ilm5KzPW8XJdjc8Q,"""Marie Callender's""","""2420 W Northern Ave""",Phoenix,AZ,85021,33.5533145,-112.1107845,3.5,3,0,Restaurants;Bakeries;Food;American (Traditional)
52832,quBpp-CIt-XWF_4rIsM_jQ,"""Beach Club Cantina""","""9832 W Northern Ave, Ste 1650""",Peoria,AZ,85345,33.551491399999996,-112.2701358,4.0,42,0,Sports Bars;Restaurants;Cocktail Bars;Mexican;Bars;Nightlife
52841,y3bMutme81x4PUhb0zaC_A,"""Dilly's Deli""","""2895 S Alma School Rd""",Chandler,AZ,85286,33.263962,-111.857826,3.5,62,0,Restaurants;Sandwiches;Event Planning & Services;Caterers;Delis
52846,frhhyWjSCYJFAy-waxWdPw,"""Phoenix Greyhound Park""","""3801 E Washington St""",Phoenix,AZ,85034,33.447654,-111.99798899999999,3.0,5,1,Restaurants;Horse Racing;Arts & Entertainment;Stadiums & Arenas;Active Life
52853,LRyJquzweF4oMgJhkvwL5Q,"""Press Coffee""","""2577 W Queen Creek Rd, Ste 100""",Chandler,AZ,85248,33.2609620177,-111.88513822600001,4.5,63,1,Food;Cafes;Coffee Roasteries;Breakfast & Brunch;Restaurants;Coffee & Tea
52863,HTAAMVDZ4P0VX5F9euJBoA,"""Szechwan Garden""","""5055 W Ray Rd, Ste 1""",Chandler,AZ,85226,33.3193740845,-111.929328918,4.0,164,1,Restaurants;Chinese
52867,X1r8ugVdi4r6siqkNmIkkg,"""Raspados Imperial""","""4344 W Indian School Rd, Ste 29""",Phoenix,AZ,85031,33.4967566,-112.1532402,5.0,10,1,Food;Coffee & Tea;Desserts;Restaurants;Ice Cream & Frozen Yogurt;Creperies
52881,5U4u8I0nSbHrL5eagLvktA,"""Phoenix Pizza Festival""","""1202 N 3rd St""",Phoenix,AZ,85004,33.4616783,-112.0703743,3.5,7,1,Arts & Entertainment;Pizza;Festivals;Restaurants
52907,oV0Zr6AR0XFSYCNRF9D4qA,"""Versus Sports Grill""","""9030 E Via Linda""",Scottsdale,AZ,85258,33.569728000000005,-111.88620300000001,3.0,12,0,Bars;Sports Bars;American (New);Karaoke;Restaurants;Nightlife
52923,rIv4K_LvVbPwC9tPO_fwYw,"""NY Classic Subs""","""2070 E Apache Blvd""",Tempe,AZ,85281,33.41486810000001,-111.89727690000001,4.0,4,0,Sandwiches;Restaurants;Chicken Wings
52929,bROfsCS_9L7PaDn84scvhA,"""Fox Sports Grill""","""3400 E Sky Harbor Blvd""",Phoenix,AZ,85034,33.4354656,-112.00717140000002,2.0,25,1,Restaurants;American (Traditional)
52962,5-l_zaYVEG-ft0cwyhWpyA,"""KFC""","""2750 S. 75th Ave.""",Phoenix,AZ,85043,33.424,-112.221,1.5,21,1,Fast Food;Chicken Wings;Restaurants
52966,fI8sXEe2RhxpkS6UxixReQ,"""Sonic Drive-In""","""13916 N 67th Ave""",Glendale,AZ,85306,33.6126254,-112.20259080000001,3.0,16,1,American (Traditional);Fast Food;Restaurants;Burgers
52978,Zto7klfy9Opk65ABzZS1qw,"""Del Taco""","""3648 E Southern Ave""",Mesa,AZ,85206,33.3941478,-111.75150390000002,2.5,19,1,Mexican;Restaurants
53000,mp-PSmM2ZN2vYBUVUFnMbw,"""First Watch""","""1 N 1st St, Ste 100""",Phoenix,AZ,85004,33.4492,-112.0696,3.0,22,0,Restaurants;Breakfast & Brunch
